d3mIndex,type,repeat,fold
0,TEST,0,0
1,TEST,0,0
2,TEST,0,0
3,TEST,0,0
4,TRAIN,0,0
5,TEST,0,0
6,TRAIN,0,0
7,TEST,0,0
8,TEST,0,0
9,TRAIN,0,0
10,TEST,0,0
11,TEST,0,0
12,TEST,0,0
13,TEST,0,0
14,TRAIN,0,0
15,TEST,0,0
16,TEST,0,0
17,TEST,0,0
18,TRAIN,0,0
19,TEST,0,0
20,TEST,0,0
21,TEST,0,0
22,TEST,0,0
23,TEST,0,0
24,TEST,0,0
25,TRAIN,0,0
26,TRAIN,0,0
27,TEST,0,0
28,TEST,0,0
29,TEST,0,0
30,TEST,0,0
31,TRAIN,0,0
32,TEST,0,0
33,TEST,0,0
34,TRAIN,0,0
35,TEST,0,0
36,TEST,0,0
37,TEST,0,0
38,TEST,0,0
39,TEST,0,0
40,TEST,0,0
41,TEST,0,0
42,TEST,0,0
43,TEST,0,0
44,TEST,0,0
45,TEST,0,0
46,TRAIN,0,0
47,TEST,0,0
48,TEST,0,0
49,TEST,0,0
50,TEST,0,0
51,TEST,0,0
52,TRAIN,0,0
53,TRAIN,0,0
54,TRAIN,0,0
55,TEST,0,0
56,TEST,0,0
57,TEST,0,0
58,TEST,0,0
59,TEST,0,0
60,TEST,0,0
61,TEST,0,0
62,TEST,0,0
63,TEST,0,0
64,TEST,0,0
65,TEST,0,0
66,TRAIN,0,0
67,TRAIN,0,0
68,TEST,0,0
69,TEST,0,0
70,TEST,0,0
71,TEST,0,0
72,TRAIN,0,0
73,TEST,0,0
74,TEST,0,0
75,TEST,0,0
76,TEST,0,0
77,TEST,0,0
78,TEST,0,0
79,TEST,0,0
80,TEST,0,0
81,TEST,0,0
82,TRAIN,0,0
83,TEST,0,0
84,TRAIN,0,0
85,TEST,0,0
86,TEST,0,0
87,TEST,0,0
88,TEST,0,0
89,TRAIN,0,0
90,TEST,0,0
91,TEST,0,0
92,TEST,0,0
93,TRAIN,0,0
94,TEST,0,0
95,TEST,0,0
96,TEST,0,0
97,TEST,0,0
98,TEST,0,0
99,TEST,0,0
100,TEST,0,0
101,TEST,0,0
102,TEST,0,0
103,TEST,0,0
104,TEST,0,0
105,TEST,0,0
106,TEST,0,0
107,TEST,0,0
108,TEST,0,0
109,TEST,0,0
110,TEST,0,0
111,TEST,0,0
112,TEST,0,0
113,TEST,0,0
114,TEST,0,0
115,TRAIN,0,0
116,TEST,0,0
117,TEST,0,0
118,TEST,0,0
119,TEST,0,0
120,TRAIN,0,0
121,TEST,0,0
122,TRAIN,0,0
123,TEST,0,0
124,TEST,0,0
125,TRAIN,0,0
126,TRAIN,0,0
127,TEST,0,0
128,TEST,0,0
129,TEST,0,0
130,TEST,0,0
131,TEST,0,0
132,TEST,0,0
133,TEST,0,0
134,TEST,0,0
135,TEST,0,0
136,TRAIN,0,0
137,TEST,0,0
138,TEST,0,0
139,TRAIN,0,0
140,TEST,0,0
141,TRAIN,0,0
142,TEST,0,0
143,TEST,0,0
144,TEST,0,0
145,TEST,0,0
146,TRAIN,0,0
147,TEST,0,0
148,TEST,0,0
149,TEST,0,0
150,TEST,0,0
151,TRAIN,0,0
152,TRAIN,0,0
153,TEST,0,0
154,TEST,0,0
155,TEST,0,0
156,TEST,0,0
157,TEST,0,0
158,TEST,0,0
159,TRAIN,0,0
160,TEST,0,0
161,TEST,0,0
162,TEST,0,0
163,TEST,0,0
164,TRAIN,0,0
165,TEST,0,0
166,TEST,0,0
167,TEST,0,0
168,TEST,0,0
169,TRAIN,0,0
170,TEST,0,0
171,TEST,0,0
172,TEST,0,0
173,TRAIN,0,0
174,TEST,0,0
175,TRAIN,0,0
176,TEST,0,0
177,TEST,0,0
178,TEST,0,0
179,TEST,0,0
180,TEST,0,0
181,TEST,0,0
182,TRAIN,0,0
183,TEST,0,0
184,TEST,0,0
185,TEST,0,0
186,TEST,0,0
187,TEST,0,0
188,TEST,0,0
189,TRAIN,0,0
190,TEST,0,0
191,TRAIN,0,0
192,TEST,0,0
193,TEST,0,0
194,TEST,0,0
195,TEST,0,0
196,TEST,0,0
197,TEST,0,0
198,TEST,0,0
199,TEST,0,0
200,TEST,0,0
201,TRAIN,0,0
202,TEST,0,0
203,TEST,0,0
204,TRAIN,0,0
205,TEST,0,0
206,TEST,0,0
207,TRAIN,0,0
208,TEST,0,0
209,TEST,0,0
210,TEST,0,0
211,TRAIN,0,0
212,TEST,0,0
213,TEST,0,0
214,TEST,0,0
215,TEST,0,0
216,TEST,0,0
217,TEST,0,0
218,TEST,0,0
219,TRAIN,0,0
220,TEST,0,0
221,TEST,0,0
222,TEST,0,0
223,TEST,0,0
224,TEST,0,0
225,TEST,0,0
226,TEST,0,0
227,TEST,0,0
228,TEST,0,0
229,TRAIN,0,0
230,TEST,0,0
231,TEST,0,0
232,TRAIN,0,0
233,TRAIN,0,0
234,TEST,0,0
235,TEST,0,0
236,TEST,0,0
237,TRAIN,0,0
238,TEST,0,0
239,TEST,0,0
240,TEST,0,0
241,TEST,0,0
242,TRAIN,0,0
243,TEST,0,0
244,TEST,0,0
245,TEST,0,0
246,TEST,0,0
247,TEST,0,0
248,TRAIN,0,0
249,TEST,0,0
250,TEST,0,0
251,TEST,0,0
252,TEST,0,0
253,TRAIN,0,0
254,TRAIN,0,0
255,TEST,0,0
256,TEST,0,0
257,TEST,0,0
258,TEST,0,0
259,TEST,0,0
260,TRAIN,0,0
261,TEST,0,0
262,TEST,0,0
263,TEST,0,0
264,TEST,0,0
265,TEST,0,0
266,TEST,0,0
267,TEST,0,0
268,TEST,0,0
269,TEST,0,0
270,TEST,0,0
271,TEST,0,0
272,TEST,0,0
273,TEST,0,0
274,TEST,0,0
275,TEST,0,0
276,TEST,0,0
277,TEST,0,0
278,TRAIN,0,0
279,TRAIN,0,0
280,TEST,0,0
281,TEST,0,0
282,TEST,0,0
283,TEST,0,0
284,TEST,0,0
285,TEST,0,0
286,TEST,0,0
287,TEST,0,0
288,TEST,0,0
289,TRAIN,0,0
290,TEST,0,0
291,TEST,0,0
292,TRAIN,0,0
293,TEST,0,0
294,TEST,0,0
295,TEST,0,0
296,TEST,0,0
297,TEST,0,0
298,TRAIN,0,0
299,TRAIN,0,0
300,TEST,0,0
301,TEST,0,0
302,TEST,0,0
303,TEST,0,0
304,TEST,0,0
305,TRAIN,0,0
306,TEST,0,0
307,TEST,0,0
308,TEST,0,0
309,TRAIN,0,0
310,TEST,0,0
311,TEST,0,0
312,TEST,0,0
313,TEST,0,0
314,TEST,0,0
315,TEST,0,0
316,TEST,0,0
317,TEST,0,0
318,TEST,0,0
319,TRAIN,0,0
320,TEST,0,0
321,TEST,0,0
322,TRAIN,0,0
323,TEST,0,0
324,TEST,0,0
325,TRAIN,0,0
326,TRAIN,0,0
327,TEST,0,0
328,TEST,0,0
329,TRAIN,0,0
330,TEST,0,0
331,TEST,0,0
332,TEST,0,0
333,TRAIN,0,0
334,TRAIN,0,0
335,TRAIN,0,0
336,TEST,0,0
337,TEST,0,0
338,TEST,0,0
339,TEST,0,0
340,TEST,0,0
341,TEST,0,0
342,TEST,0,0
343,TEST,0,0
344,TEST,0,0
345,TEST,0,0
346,TEST,0,0
347,TEST,0,0
348,TEST,0,0
349,TEST,0,0
350,TEST,0,0
351,TEST,0,0
352,TEST,0,0
353,TRAIN,0,0
354,TEST,0,0
355,TRAIN,0,0
356,TEST,0,0
357,TRAIN,0,0
358,TEST,0,0
359,TEST,0,0
360,TRAIN,0,0
361,TRAIN,0,0
362,TRAIN,0,0
363,TEST,0,0
364,TRAIN,0,0
365,TEST,0,0
366,TEST,0,0
367,TEST,0,0
368,TRAIN,0,0
369,TEST,0,0
370,TEST,0,0
371,TEST,0,0
372,TEST,0,0
373,TEST,0,0
374,TEST,0,0
375,TEST,0,0
376,TEST,0,0
377,TEST,0,0
378,TRAIN,0,0
379,TEST,0,0
380,TEST,0,0
381,TRAIN,0,0
382,TEST,0,0
383,TEST,0,0
384,TEST,0,0
385,TEST,0,0
386,TEST,0,0
387,TEST,0,0
388,TRAIN,0,0
389,TEST,0,0
390,TEST,0,0
391,TEST,0,0
392,TEST,0,0
393,TEST,0,0
394,TRAIN,0,0
395,TEST,0,0
396,TEST,0,0
397,TEST,0,0
398,TRAIN,0,0
399,TEST,0,0
400,TEST,0,0
401,TEST,0,0
402,TEST,0,0
403,TEST,0,0
404,TRAIN,0,0
405,TEST,0,0
